Geneid	sample_0	sample_1	sample_2	sample_3	sample_4	sample_5
ENSG00000278044	0	0	0	0	0	0
ENSG00000274252	8	14	13	22	16	24
ENSG00000275319	0	0	0	0	0	0
ENSG00000277690	0	0	0	0	0	0
ENSG00000278558	4	2	5	5	3	4
ENSG00000274602	0	0	0	0	1	1
ENSG00000274625	0	0	0	0	0	0
ENSG00000222630	0	0	0	0	0	0
ENSG00000275793	14	15	10	2	9	10
ENSG00000275362	0	0	0	0	0	0
ENSG00000278110	0	0	0	0	0	0
ENSG00000273907	0	0	0	0	0	0
ENSG00000273643	0	0	0	0	0	0
ENSG00000278008	0	0	0	0	0	0
ENSG00000182824	0	0	0	0	0	0
ENSG00000197421	0	0	3	0	0	0
ENSG00000239989	0	0	0	0	0	0
ENSG00000234764	0	0	0	0	0	0
ENSG00000161103	0	0	0	0	0	0
ENSG00000215544	0	0	0	0	0	0
ENSG00000276095	0	0	0	0	0	0
ENSG00000279987	0	0	0	0	0	0
ENSG00000183628	0	3	0	0	1	1
ENSG00000100033	317	298	305	172	170	176
ENSG00000279560	65	66	67	121	105	114
ENSG00000280418	0	0	0	0	0	0
ENSG00000237517	0	0	0	0	0	0
ENSG00000283406	0	0	0	0	0	0
ENSG00000283583	0	0	0	0	0	0
ENSG00000271275	0	0	0	0	0	0
ENSG00000283366	0	0	0	0	0	0
ENSG00000273032	0	0	0	0	0	0
ENSG00000270393	0	0	0	0	0	0
ENSG00000273164	0	0	0	0	0	0
ENSG00000241527	0	0	0	0	0	0
ENSG00000070413	166	171	176	193	188	177
ENSG00000206739	0	0	0	0	0	0
ENSG00000273311	0	0	0	0	0	0
ENSG00000237347	0	0	0	0	0	0
ENSG00000281530	0	0	0	0	0	0
ENSG00000223461	0	0	0	0	0	0
ENSG00000272682	0	0	0	0	0	0
ENSG00000231086	0	0	0	0	0	0
ENSG00000100056	65	63	66	101	104	105
ENSG00000206203	296	288	289	260	262	262
ENSG00000063515	461	473	471	159	161	154
ENSG00000260924	0	0	0	0	0	0
ENSG00000100075	266	258	257	408	416	408
ENSG00000070371	0	0	0	0	0	0
ENSG00000230194	0	0	0	0	0	0
ENSG00000251940	0	0	0	0	0	0
ENSG00000233471	0	0	0	0	0	0
ENSG00000100084	108	96	102	1626	1680	1699
ENSG00000242259	1	4	7	6	2	5
ENSG00000244296	0	0	0	0	0	0
ENSG00000185608	248	249	236	421	418	414
ENSG00000185065	0	0	0	0	0	0
ENSG00000070010	168	173	163	82	83	85
ENSG00000273300	0	0	0	0	0	0
ENSG00000273212	0	0	0	0	0	0
ENSG00000093009	247	239	249	284	281	283
ENSG00000184113	218	221	208	189	179	185
ENSG00000281548	0	0	0	0	0	0
ENSG00000230485	0	0	0	0	0	0
ENSG00000225007	0	0	0	0	0	0
ENSG00000184702	0	0	0	0	0	0
ENSG00000203618	0	0	0	0	0	0
ENSG00000184058	416	427	428	278	268	278
ENSG00000185838	246	247	249	141	142	133
ENSG00000235776	0	0	0	0	0	0
ENSG00000215012	96	97	90	170	167	172
ENSG00000184470	312	313	328	211	189	208
ENSG00000232926	0	0	0	0	0	0
ENSG00000093010	1137	1142	1141	197	194	194
ENSG00000099889	291	293	281	312	318	322
ENSG00000183597	286	288	289	222	218	225
ENSG00000208023	0	0	0	0	0	0
ENSG00000236540	0	0	0	0	0	0
ENSG00000268292	0	0	0	0	0	0
ENSG00000277950	0	0	0	0	0	0
ENSG00000128191	503	504	499	242	251	248
ENSG00000243762	0	0	0	0	0	0
ENSG00000099899	54	55	61	283	286	285
ENSG00000278278	0	0	0	0	0	0
ENSG00000099901	606	586	598	300	305	321
ENSG00000264346	0	0	0	0	0	0
ENSG00000099904	0	0	0	0	0	0
ENSG00000234409	1830	1861	1850	142	137	128
ENSG00000249923	0	0	0	0	0	0
ENSG00000236499	0	0	0	0	0	0
ENSG00000040608	171	160	160	1211	1226	1214
ENSG00000221039	0	0	0	0	0	0
ENSG00000161132	0	0	1	1	1	1
ENSG00000128185	260	277	247	142	118	125
ENSG00000273343	0	0	0	0	0	0
ENSG00000273139	0	0	0	0	0	0
ENSG00000188280	0	0	0	0	0	0
ENSG00000235578	0	0	0	0	0	0
ENSG00000161133	42	62	44	86	108	97
ENSG00000185252	268	272	283	341	355	342
ENSG00000207343	0	0	0	0	0	0
ENSG00000244486	257	251	269	235	233	261
ENSG00000277971	0	0	0	0	0	0
ENSG00000099910	72	70	69	85	87	86
ENSG00000215493	0	0	0	0	0	0
ENSG00000255156	0	0	0	0	0	0
ENSG00000201916	0	0	0	0	0	0
ENSG00000242876	0	0	0	0	0	0
ENSG00000236670	0	0	0	0	0	0
ENSG00000099917	206	214	216	325	320	311
ENSG00000236003	0	0	0	0	0	0
ENSG00000250261	0	0	0	0	0	0
ENSG00000223553	0	0	0	0	0	0
ENSG00000276427	0	0	0	0	0	0
ENSG00000238125	0	0	0	0	0	0
ENSG00000229107	0	0	0	0	0	0
ENSG00000217261	0	0	0	0	0	0
ENSG00000235062	0	0	0	0	0	0
ENSG00000226287	2	1	3	2	1	4
ENSG00000241973	102	99	95	887	886	888
ENSG00000099937	3446	3453	3446	221	225	232
ENSG00000099940	300	279	300	748	764	781
ENSG00000272600	0	0	0	0	0	0
ENSG00000099942	458	462	449	236	238	231
ENSG00000237476	0	0	0	0	0	0
ENSG00000183773	496	491	484	216	215	207
ENSG00000099949	133	138	135	145	137	134
ENSG00000272829	0	0	0	0	0	0
ENSG00000184436	907	917	909	260	247	261
ENSG00000230513	0	0	0	0	0	0
ENSG00000161149	0	0	0	0	0	0
ENSG00000099957	0	0	0	0	0	0
ENSG00000099960	178	167	167	1110	1099	1109
ENSG00000226872	0	0	0	0	0	0
ENSG00000207575	0	0	0	0	0	0
ENSG00000206145	0	0	0	0	0	0
ENSG00000187905	395	401	403	185	195	190
ENSG00000249680	0	0	0	0	0	0
ENSG00000169668	0	0	0	0	0	0
ENSG00000197210	0	0	0	0	0	0
ENSG00000239511	0	0	0	0	0	0
ENSG00000224688	0	0	0	0	0	0
ENSG00000215498	0	0	0	0	0	0
ENSG00000234503	0	0	0	0	0	0
ENSG00000133475	51	37	39	15	12	12
ENSG00000283145	0	0	0	0	0	0
ENSG00000226885	0	0	0	0	0	0
ENSG00000229266	0	0	0	0	0	0
ENSG00000169662	0	0	0	0	0	0
ENSG00000206142	0	0	0	0	0	0
ENSG00000237407	0	0	0	0	0	0
ENSG00000232771	0	0	0	0	0	0
ENSG00000279920	0	0	0	0	0	0
ENSG00000226534	0	0	0	0	0	0
ENSG00000273846	0	0	0	0	0	0
ENSG00000274600	2	7	3	9	13	6
ENSG00000200057	0	0	0	0	0	0
ENSG00000252020	0	0	0	0	0	0
ENSG00000275840	0	0	0	0	0	0
ENSG00000169635	206	195	207	289	291	280
ENSG00000276800	0	0	0	0	0	0
ENSG00000206140	8	10	4	7	12	9
ENSG00000183506	0	0	0	2	0	0
ENSG00000252143	0	0	0	0	0	0
ENSG00000222352	0	0	0	0	0	0
ENSG00000183246	4	6	4	4	4	3
ENSG00000185651	129	123	123	98	92	99
ENSG00000275293	0	0	0	0	0	0
ENSG00000161179	159	150	150	146	145	147
ENSG00000161180	267	269	267	220	212	210
ENSG00000273342	0	0	0	0	0	0
ENSG00000128228	174	172	178	209	209	208
ENSG00000207751	0	0	0	0	0	0
ENSG00000212102	0	0	0	0	0	0
ENSG00000272954	0	0	0	0	0	0
ENSG00000100023	47	54	32	47	41	47
ENSG00000100027	0	0	0	0	0	0
ENSG00000244671	0	0	0	0	0	0
ENSG00000100030	260	270	265	350	350	353
ENSG00000200985	0	0	0	0	0	0
ENSG00000225544	0	0	0	0	0	0
ENSG00000100034	408	420	408	238	243	228
ENSG00000224086	0	0	0	0	0	0
ENSG00000100038	180	176	180	127	107	121
ENSG00000197549	0	0	0	0	0	0
ENSG00000253239	0	0	0	0	0	0
ENSG00000211637	0	0	0	0	0	0
ENSG00000254355	0	0	0	0	0	0
ENSG00000278657	0	0	0	0	0	0
ENSG00000249333	0	0	0	0	0	0
ENSG00000253794	0	0	0	0	0	0
ENSG00000228161	0	0	0	0	0	0
ENSG00000253874	0	0	0	0	0	0
ENSG00000254075	0	0	0	0	0	0
ENSG00000254161	0	0	0	0	0	0
ENSG00000253242	0	0	0	0	0	0
ENSG00000253752	0	0	0	0	0	0
ENSG00000253823	0	0	0	0	0	0
ENSG00000275361	0	0	0	0	0	0
ENSG00000211638	0	0	0	0	0	0
ENSG00000225741	0	0	0	0	0	0
ENSG00000263366	0	0	0	0	0	0
ENSG00000236118	0	0	0	0	0	0
ENSG00000233720	0	0	0	0	0	0
ENSG00000211639	0	0	0	0	0	0
ENSG00000227710	0	0	0	0	0	0
ENSG00000224465	0	0	0	0	0	0
ENSG00000254308	0	0	0	0	0	0
ENSG00000253637	0	0	0	0	0	0
ENSG00000236323	0	0	0	0	0	0
ENSG00000211640	0	0	0	0	0	0
ENSG00000253126	0	0	0	0	0	0
ENSG00000211641	0	0	0	0	0	0
ENSG00000211642	0	0	0	0	0	0
ENSG00000253935	0	0	0	0	0	0
ENSG00000228050	0	0	0	0	0	0
ENSG00000234726	0	0	0	0	0	0
ENSG00000169575	138	135	138	68	63	61
ENSG00000279278	0	0	0	0	0	0
ENSG00000274422	0	0	0	0	0	0
ENSG00000234630	0	0	0	0	0	0
ENSG00000236850	0	0	0	0	0	0
ENSG00000272779	0	0	0	0	0	0
ENSG00000211643	0	0	0	0	0	0
ENSG00000211644	0	0	0	0	0	0
ENSG00000211645	0	0	0	0	0	0
ENSG00000225724	0	0	0	0	0	0
ENSG00000223350	0	0	0	0	0	0
ENSG00000232515	0	0	0	0	0	0
ENSG00000211647	0	0	0	0	0	0
ENSG00000211648	0	0	0	0	0	0
ENSG00000237428	0	0	0	0	0	0
ENSG00000211649	0	0	0	0	0	0
ENSG00000232603	0	0	0	0	0	0
ENSG00000211650	0	0	0	0	0	0
ENSG00000211651	0	0	0	0	0	0
ENSG00000211652	0	0	0	0	0	0
ENSG00000254175	0	0	0	0	0	0
ENSG00000254073	0	0	0	0	0	0
ENSG00000253818	0	0	0	0	0	0
ENSG00000211653	0	0	0	0	0	0
ENSG00000224144	0	0	0	0	0	0
ENSG00000253889	0	0	0	0	0	0
ENSG00000211654	0	0	0	0	0	0
ENSG00000211655	0	0	0	0	0	0
ENSG00000230821	0	0	0	0	0	0
ENSG00000253631	0	0	0	0	0	0
ENSG00000226595	0	0	0	0	0	0
ENSG00000275004	124	115	120	125	123	120
ENSG00000169548	199	194	182	292	300	289
ENSG00000185686	297	321	308	355	352	354
ENSG00000220891	0	0	0	0	0	0
ENSG00000253120	0	0	0	0	0	0
ENSG00000211656	0	0	0	0	0	0
ENSG00000211657	0	0	0	0	0	0
ENSG00000253920	0	0	0	0	0	0
ENSG00000253329	0	0	0	0	0	0
ENSG00000215456	0	0	0	0	0	0
ENSG00000183169	0	0	0	0	0	0
ENSG00000100121	205	208	216	17	26	19
ENSG00000253338	0	0	0	0	0	0
ENSG00000253451	0	0	0	0	0	0
ENSG00000211658	0	0	0	0	0	0
ENSG00000253913	0	0	0	0	0	0
ENSG00000253779	0	0	0	0	0	0
ENSG00000211659	0	0	0	0	0	0
ENSG00000232350	0	0	0	0	0	0
ENSG00000223999	0	0	0	0	0	0
ENSG00000253822	0	0	0	0	0	0
ENSG00000211660	0	0	0	0	0	0
ENSG00000253546	0	0	0	0	0	0
ENSG00000211661	0	0	0	0	0	0
ENSG00000211662	0	0	0	0	0	0
ENSG00000254240	0	0	0	0	0	0
ENSG00000211663	0	0	0	0	0	0
ENSG00000278667	0	0	0	0	0	0
ENSG00000211664	0	0	0	0	0	0
ENSG00000253152	0	0	0	0	0	0
ENSG00000211665	0	0	0	0	0	0
ENSG00000253786	0	0	0	0	0	0
ENSG00000211666	0	0	0	0	0	0
ENSG00000253590	0	0	0	0	0	0
ENSG00000211667	0	0	0	0	0	0
ENSG00000231392	0	0	0	0	0	0
ENSG00000275772	0	0	0	0	0	0
ENSG00000211668	0	0	0	0	0	0
ENSG00000274381	0	0	0	0	0	0
ENSG00000211669	0	0	0	0	0	0
ENSG00000226477	0	0	0	0	0	0
ENSG00000211670	0	0	0	0	0	0
ENSG00000278196	0	0	0	0	0	0
ENSG00000237127	0	0	0	0	0	0
ENSG00000254077	0	0	0	0	0	0
ENSG00000253448	0	0	0	0	0	0
ENSG00000253234	0	0	0	0	0	0
ENSG00000226420	0	0	0	0	0	0
ENSG00000211672	0	0	0	0	0	0
ENSG00000253963	0	0	0	0	0	0
ENSG00000211673	0	0	0	0	0	0
ENSG00000264824	0	0	0	0	0	0
ENSG00000254709	0	0	0	0	0	0
ENSG00000211674	0	0	0	0	0	0
ENSG00000211675	0	0	0	0	0	0
ENSG00000211676	0	0	0	0	0	0
ENSG00000211677	0	0	0	0	0	0
ENSG00000211678	0	0	0	0	0	0
ENSG00000211679	0	0	0	0	0	0
ENSG00000211680	0	0	0	0	0	0
ENSG00000254029	0	0	0	0	0	0
ENSG00000211681	0	0	0	0	0	0
ENSG00000254030	0	0	0	0	0	0
ENSG00000211682	0	0	0	0	0	0
ENSG00000222037	0	0	0	0	0	0
ENSG00000211684	0	0	0	0	0	0
ENSG00000211685	0	0	0	0	0	0
ENSG00000237472	0	0	0	0	0	0
ENSG00000223679	0	0	0	0	0	0
ENSG00000100218	233	233	227	161	155	162
ENSG00000128266	112	110	110	406	408	407
ENSG00000283438	0	0	0	0	0	0
ENSG00000275635	0	0	0	0	0	0
ENSG00000100228	263	257	246	390	394	407
ENSG00000186716	0	0	0	0	0	0
ENSG00000236794	0	0	0	0	0	0
ENSG00000240160	0	0	0	0	0	0
ENSG00000230701	0	0	0	0	0	0
ENSG00000214526	0	0	0	0	0	0
ENSG00000236611	0	0	0	0	0	0
ENSG00000215478	0	0	0	0	0	0
ENSG00000133519	0	0	0	0	0	0
ENSG00000248409	1	2	1	1	0	0
ENSG00000234928	0	0	0	0	0	0
ENSG00000227755	0	0	0	0	0	0
ENSG00000178248	0	0	0	0	0	0
ENSG00000225413	0	0	0	0	0	0
ENSG00000280623	0	0	0	0	0	0
ENSG00000224277	0	0	0	0	0	0
ENSG00000128322	104	110	106	155	169	158
ENSG00000272733	0	0	0	0	0	0
ENSG00000278655	0	0	0	0	0	0
ENSG00000189269	238	243	243	51	51	63
ENSG00000275609	0	0	0	0	0	0
ENSG00000211683	0	0	0	0	0	0
ENSG00000228315	0	0	0	0	0	0
ENSG00000234353	0	0	0	0	0	0
ENSG00000244723	0	0	0	0	0	0
ENSG00000273000	0	0	0	0	0	0
ENSG00000272578	0	0	0	0	0	0
ENSG00000159496	109	115	114	66	65	64
ENSG00000187792	2525	2527	2527	272	263	250
ENSG00000128218	312	296	314	713	709	710
ENSG00000169314	284	273	263	270	280	283
ENSG00000250479	183	193	177	186	190	195
ENSG00000099953	225	220	228	138	144	146
ENSG00000280178	152	146	143	123	120	123
ENSG00000099956	52	54	57	121	130	126
ENSG00000099958	264	273	280	287	293	284
ENSG00000272973	0	0	0	0	0	0
ENSG00000133460	196	216	215	144	160	148
ENSG00000251357	0	0	0	0	0	0
ENSG00000279467	0	0	0	0	0	0
ENSG00000244425	0	0	0	0	0	0
ENSG00000240972	64	53	54	352	373	370
ENSG00000218537	0	0	0	0	0	0
ENSG00000273295	0	0	0	0	0	0
ENSG00000225282	0	0	0	0	0	0
ENSG00000206090	0	0	0	0	0	0
ENSG00000231271	0	0	0	0	0	0
ENSG00000133433	12	18	15	41	30	32
ENSG00000228039	0	0	0	0	0	0
ENSG00000099974	53	48	52	68	77	70
ENSG00000272787	0	0	0	0	0	0
ENSG00000099977	460	465	499	66	65	66
ENSG00000250470	0	0	0	0	0	0
ENSG00000099984	0	0	0	2	1	0
ENSG00000224205	0	0	0	0	0	0
ENSG00000276950	0	0	0	0	0	0
ENSG00000235689	0	0	0	0	0	0
ENSG00000099991	184	191	187	298	287	294
ENSG00000232545	0	0	0	0	0	0
ENSG00000099994	984	986	1010	237	244	226
ENSG00000099998	4804	4790	4872	222	227	221
ENSG00000230712	0	0	0	0	0	1
ENSG00000128262	0	0	0	0	0	0
ENSG00000225098	0	0	0	0	0	0
ENSG00000215464	0	0	0	0	0	0
ENSG00000100014	137	115	123	54	56	47
ENSG00000258555	1	2	0	0	2	0
ENSG00000128271	77	78	77	65	67	68
ENSG00000178803	0	0	0	0	0	0
ENSG00000100024	205	217	205	3097	3090	3102
ENSG00000228923	0	0	0	0	0	0
ENSG00000138867	1145	1143	1144	188	192	187
ENSG00000100028	1612	1615	1613	255	250	246
ENSG00000100031	85	87	76	110	98	105
ENSG00000178026	397	392	403	211	219	215
ENSG00000230947	0	0	0	0	0	0
ENSG00000215481	0	0	0	0	0	0
ENSG00000224124	0	0	0	0	0	0
ENSG00000224806	0	0	0	0	0	0
ENSG00000224334	0	0	0	0	0	0
ENSG00000282012	0	0	0	0	0	0
ENSG00000237601	0	0	0	0	0	0
ENSG00000182351	0	0	0	0	0	0
ENSG00000184571	362	360	369	102	99	98
ENSG00000167037	103	103	105	137	135	139
ENSG00000199783	0	0	0	0	0	0
ENSG00000206069	1932	1952	1957	262	272	269
ENSG00000197077	98	93	98	343	350	342
ENSG00000279085	0	0	0	0	0	0
ENSG00000279548	0	0	0	0	0	0
ENSG00000279006	0	0	0	0	0	0
ENSG00000279110	0	0	0	0	0	0
ENSG00000203280	0	0	0	0	0	0
ENSG00000271181	0	0	0	0	0	0
ENSG00000100053	104	104	114	178	181	177
ENSG00000236641	0	0	0	0	0	0
ENSG00000244752	774	759	751	238	236	224
ENSG00000279298	0	0	0	0	0	0
ENSG00000233577	0	0	0	0	0	0
ENSG00000206066	0	0	0	0	0	0
ENSG00000230637	0	0	0	0	0	0
ENSG00000231466	0	0	0	0	0	0
ENSG00000100068	218	213	221	327	328	320
ENSG00000272942	0	0	0	0	0	0
ENSG00000272798	0	0	0	0	0	0
ENSG00000271138	0	0	0	0	0	0
ENSG00000100058	0	0	0	0	0	0
ENSG00000277872	0	0	0	0	0	0
ENSG00000272977	0	0	0	0	0	0
ENSG00000234884	0	0	0	0	0	0
ENSG00000100077	224	220	224	216	216	218
ENSG00000237387	0	0	0	0	0	0
ENSG00000224003	0	0	0	0	0	0
ENSG00000222585	0	0	0	0	0	0
ENSG00000133454	191	184	194	954	967	957
ENSG00000278960	0	0	0	0	0	0
ENSG00000231933	0	0	0	0	0	0
ENSG00000232464	0	0	0	0	0	0
ENSG00000223056	0	0	0	0	0	0
ENSG00000232050	0	0	0	0	0	0
ENSG00000236464	0	0	0	0	0	0
ENSG00000229770	0	0	0	0	0	0
ENSG00000100095	0	0	0	0	0	0
ENSG00000224192	0	0	0	0	0	0
ENSG00000252267	0	0	0	0	0	0
ENSG00000230203	0	0	0	0	0	0
ENSG00000128203	389	403	388	219	220	225
ENSG00000100099	912	887	883	250	260	254
ENSG00000100104	174	172	179	114	110	106
ENSG00000100109	217	217	216	70	73	73
ENSG00000261188	0	0	0	0	0	0
ENSG00000128294	215	235	230	861	899	904
ENSG00000221760	0	0	0	0	0	0
ENSG00000213707	0	0	0	0	0	0
ENSG00000100122	649	651	647	205	197	195
ENSG00000196431	205	213	214	574	580	575
ENSG00000226912	0	0	0	0	0	0
ENSG00000225783	0	0	0	0	0	0
ENSG00000278404	0	0	0	0	0	0
ENSG00000206028	0	0	0	0	0	0
ENSG00000277941	0	0	0	0	0	0
ENSG00000275942	0	0	0	0	0	0
ENSG00000244625	0	0	0	0	0	0
ENSG00000276991	0	0	0	0	0	0
ENSG00000223704	0	0	0	0	0	0
ENSG00000231369	0	0	0	0	0	0
ENSG00000235271	0	0	0	0	0	0
ENSG00000279440	0	0	0	0	0	0
ENSG00000200443	0	0	0	0	0	0
ENSG00000279914	0	0	0	0	0	0
ENSG00000279848	0	0	0	0	0	0
ENSG00000236858	0	0	0	0	0	0
ENSG00000280025	0	0	0	0	0	0
ENSG00000231405	0	0	0	0	0	0
ENSG00000238195	0	0	0	0	0	0
ENSG00000233521	0	0	0	0	0	0
ENSG00000233574	0	0	0	0	0	0
ENSG00000223726	0	0	0	0	0	0
ENSG00000226741	0	0	0	0	0	0
ENSG00000230051	0	0	0	0	0	0
ENSG00000280445	0	0	0	0	0	0
ENSG00000227880	0	0	0	0	0	0
ENSG00000224027	0	0	0	0	0	0
ENSG00000227838	0	0	0	0	0	0
ENSG00000231495	0	0	0	0	0	0
ENSG00000226169	0	0	0	0	0	0
ENSG00000169184	168	158	170	136	139	145
ENSG00000180957	273	277	269	227	235	242
ENSG00000235954	0	0	0	0	0	0
ENSG00000277460	0	0	0	0	0	0
ENSG00000264073	0	0	0	0	0	0
ENSG00000283225	0	0	0	0	0	0
ENSG00000276150	0	0	0	0	0	0
ENSG00000100154	204	186	197	195	188	199
ENSG00000274342	0	0	0	0	0	0
ENSG00000276675	0	0	0	0	0	0
ENSG00000239249	0	0	0	0	0	0
ENSG00000201209	0	0	0	0	0	0
ENSG00000199797	0	0	0	0	0	0
ENSG00000276162	0	0	0	0	0	0
ENSG00000266503	0	0	0	0	0	0
ENSG00000183765	114	118	109	105	101	102
ENSG00000100209	261	254	253	87	85	93
ENSG00000159873	126	117	120	220	221	218
ENSG00000100219	2513	2510	2511	227	239	227
ENSG00000226471	0	0	0	0	0	0
ENSG00000272858	0	0	0	0	0	0
ENSG00000224256	0	0	0	0	0	0
ENSG00000183579	296	297	289	174	161	167
ENSG00000235786	0	0	0	0	0	0
ENSG00000177993	0	0	0	0	0	0
ENSG00000100249	168	169	163	170	168	178
ENSG00000183762	874	860	884	135	133	141
ENSG00000226772	0	0	0	0	0	0
ENSG00000200871	0	0	0	0	0	0
ENSG00000251952	0	0	0	0	0	0
ENSG00000186998	72	75	78	90	86	94
ENSG00000100263	281	279	281	279	280	277
ENSG00000237015	0	0	0	0	0	0
ENSG00000182944	1271	1265	1276	212	202	207
ENSG00000185340	253	266	272	513	496	515
ENSG00000100276	0	0	0	0	0	0
ENSG00000273216	0	0	0	0	0	0
ENSG00000100280	0	0	0	0	0	0
ENSG00000280968	0	0	0	0	0	0
ENSG00000239127	0	0	0	0	0	0
ENSG00000242156	0	0	0	0	0	0
ENSG00000278292	0	0	0	0	0	0
ENSG00000225465	0	0	0	0	0	0
